Wavelength (nm),Schwarzes_Silizium,Wavelength (nm),Si_Waver,Wavelength (nm),Si_Waver_Matt,Wavelength (nm),Si_amorph,Wavelength (nm),Pyramide,Wavelength (nm),AR_Glanzend,Wavelength (nm),AR_Matt,
1912,39.07712555,1912,50.38341904,1912,48.78710556,1912,44.23368454,1912,21.63319969,1912,34.20564651,1912,27.8362236,
1911,39.08280182,1911,50.33251572,1911,48.79393387,1911,43.91703033,1911,21.67146683,1911,34.20737839,1911,27.82685089,
1910,39.07553864,1910,50.33586121,1910,48.74813843,1910,43.63913727,1910,21.71921539,1910,34.2364502,1910,27.82361794,
1909,39.09796906,1909,50.32144928,1909,48.8040657,1909,43.40297318,1909,21.77345467,1909,34.23329926,1909,27.84296227,
1908,39.09312057,1908,50.3332901,1908,48.75676727,1908,43.16136169,1908,21.81586266,1908,34.18476105,1908,27.84502411,
1907,39.09156799,1907,50.34160614,1907,48.74066162,1907,42.92728424,1907,21.84071159,1907,34.19902039,1907,27.85372734,
1906,39.04854202,1906,50.36110306,1906,48.73422241,1906,42.75661469,1906,21.8811264,1906,34.20215225,1906,27.82217026,
1905,39.05655289,1905,50.25597382,1905,48.73104095,1905,42.61730957,1905,21.95681572,1905,34.1870842,1905,27.85386658,
1904,39.05739975,1904,50.26154327,1904,48.72938919,1904,42.48067856,1904,21.99601173,1904,34.21611023,1904,27.87426186,
1903,39.06793594,1903,50.26983643,1903,48.72441101,1903,42.42077637,1903,22.04901314,1903,34.20414734,1903,27.88224792,
1902,39.0615654,1902,50.26033401,1902,48.69048309,1902,42.34362411,1902,22.07336426,1902,34.23073959,1902,27.86513519,
1901,39.04830551,1901,50.25151443,1901,48.68787003,1901,42.3005867,1901,22.14193726,1901,34.21841812,1901,27.86040688,
1900,39.06100845,1900,50.23636627,1900,48.73615646,1900,42.28781509,1900,22.18939209,1900,34.20813751,1900,27.90946007,
1899,39.06150436,1899,50.23327637,1899,48.64705658,1899,42.3242836,1899,22.20907593,1899,34.231884,1899,27.87991524,
1898,39.03396606,1898,50.21585846,1898,48.66277695,1898,42.35104752,1898,22.2433815,1898,34.23449326,1898,27.88585472,
1897,39.05209732,1897,50.21830368,1897,48.63227463,1897,42.44135666,1897,22.31256294,1897,34.21133423,1897,27.89513397,
1896,39.06661987,1896,50.22667694,1896,48.66543579,1896,42.50514984,1896,22.35668182,1896,34.24198151,1896,27.92668343,
1895,39.03995895,1895,50.17876434,1895,48.62802505,1895,42.63942337,1895,22.3771534,1895,34.24149704,1895,27.90930176,
1894,39.08728409,1894,50.18857193,1894,48.6180191,1894,42.77002335,1894,22.44276047,1894,34.23804092,1894,27.91692352,
1893,39.04178238,1893,50.15412521,1893,48.61239243,1893,42.94615173,1893,22.45995522,1893,34.23687363,1893,27.91386604,
1892,39.05780029,1892,50.15711975,1892,48.60654068,1892,43.09171295,1892,22.50864983,1892,34.23145676,1892,27.90976524,
1891,39.05972672,1891,50.09311295,1891,48.56932068,1891,43.28262711,1891,22.52972794,1891,34.22637558,1891,27.92242241,
1890,39.02113342,1890,50.09658432,1890,48.56938553,1890,43.49990082,1890,22.54806519,1890,34.21957016,1890,27.94203377,
1889,39.04656219,1889,50.09583664,1889,48.57243729,1889,43.74525833,1889,22.5687294,1889,34.24337387,1889,27.92322922,
1888,39.02717209,1888,50.06153107,1888,48.54404831,1888,43.96987152,1888,22.61901474,1888,34.21538544,1888,27.94383812,
1887,39.03346252,1887,50.04252243,1887,48.54734802,1887,44.20349884,1887,22.60581398,1887,34.21979141,1887,27.91629982,
1886,39.05230331,1886,50.03281403,1886,48.53495026,1886,44.51598358,1886,22.64964485,1886,34.2401886,1886,27.95309448,
1885,39.03271103,1885,50.00840378,1885,48.52531815,1885,44.79767227,1885,22.6978569,1885,34.22814941,1885,27.95191765,
1884,39.07646942,1884,50.00121689,1884,48.538311,1884,45.11823654,1884,22.70053291,1884,34.19482422,1884,27.96973228,
1883,39.06471252,1883,49.97192764,1883,48.51897049,1883,45.46195221,1883,22.70393181,1883,34.24565506,1883,27.95657158,
1882,39.06539536,1882,49.96304321,1882,48.49031448,1882,45.85433578,1882,22.73476601,1882,34.21844864,1882,27.9653759,
1881,39.06785965,1881,49.98942184,1881,48.5235672,1881,46.28149414,1881,22.78844643,1881,34.25507355,1881,27.979496,
1880,39.03539658,1880,49.96650696,1880,48.49174118,1880,46.68014526,1880,22.82625961,1880,34.23249817,1880,28.00993919,
1879,39.03386688,1879,49.94934464,1879,48.49268341,1879,47.082798,1879,22.82552338,1879,34.23330307,1879,27.9907856,
1878,39.06110764,1878,49.95372009,1878,48.49912262,1878,47.57383728,1878,22.8635025,1878,34.24333572,1878,27.98679161,
1877,39.02968597,1877,49.91926575,1877,48.48154068,1877,48.03904724,1877,22.88776588,1877,34.23578262,1877,27.98610878,
1876,39.05703735,1876,49.91271591,1876,48.45596695,1876,48.56910324,1876,22.9038887,1876,34.23141098,1876,27.97602654,
1875,39.05001831,1875,49.90202713,1875,48.46256256,1875,49.05175018,1875,22.92433167,1875,34.22590637,1875,28.01786613,
1874,39.05951691,1874,49.90108871,1874,48.46282578,1874,49.59994507,1874,22.93302917,1874,34.21744919,1874,28.01037407,
1873,39.01294327,1873,49.88836288,1873,48.45912933,1873,50.10825348,1873,22.96791077,1873,34.24481583,1873,27.99881935,
1872,39.04872131,1872,49.9347496,1872,48.46355438,1872,50.67645264,1872,22.97615051,1872,34.26120377,1872,28.02516747,
1871,39.01314545,1871,49.88871384,1871,48.41653824,1871,51.23227692,1871,22.98847198,1871,34.22907257,1871,28.01817131,
1870,39.00695038,1870,49.89012146,1870,48.42651367,1870,51.84408569,1870,22.99067307,1870,34.24229431,1870,28.02553749,
1869,39.02553558,1869,49.89933777,1869,48.41509247,1869,52.39183807,1869,23.00112724,1869,34.24084473,1869,28.01720428,
1868,39.00663376,1868,49.88390732,1868,48.40068436,1868,53.02954483,1868,23.04007149,1868,34.23169708,1868,28.04192543,
1867,39.02765274,1867,49.88049316,1867,48.40610504,1867,53.60388184,1867,23.02709007,1867,34.24539948,1867,28.05036926,
1866,38.99178314,1866,49.87963867,1866,48.42745209,1866,54.1818428,1866,23.0424118,1866,34.2346611,1866,28.04828644,
1865,38.99960327,1865,49.90202332,1865,48.40385818,1865,54.72223282,1865,23.05394173,1865,34.24650574,1865,28.05426788,
1864,38.98629379,1864,49.89281464,1864,48.38639069,1864,55.33389282,1864,23.07172012,1864,34.25331879,1864,28.04835701,
1863,38.97633362,1863,49.87681961,1863,48.40749359,1863,55.91685104,1863,23.07694435,1863,34.25074768,1863,28.02840424,
1862,38.99006653,1862,49.90461731,1862,48.39561844,1862,56.49175644,1862,23.0976181,1862,34.26884842,1862,28.02823257,
1861,38.95039368,1861,49.90346146,1861,48.38445282,1861,57.06959534,1861,23.06997299,1861,34.23288345,1861,28.06338692,
1860,38.94593048,1860,49.87569809,1860,48.40089798,1860,57.61695099,1860,23.08202934,1860,34.22636032,1860,28.01786995,
1859,38.93424225,1859,49.8635788,1859,48.37855911,1859,58.16722488,1859,23.06269836,1859,34.22453308,1859,28.04823875,
1858,38.93395996,1858,49.87398911,1858,48.38357925,1858,58.74192047,1858,23.07528305,1858,34.21829224,1858,28.01958084,
1857,38.90804672,1857,49.83672333,1857,48.36445236,1857,59.31016159,1857,23.06866837,1857,34.2634964,1857,28.02665329,
1856,38.8990593,1856,49.85370255,1856,48.33449173,1856,59.83488464,1856,23.09282494,1856,34.21465302,1856,28.02986526,
1855,38.89219666,1855,49.84424591,1855,48.37935257,1855,60.3624115,1855,23.05413246,1855,34.2456665,1855,28.02417374,
1854,38.86801147,1854,49.83103943,1854,48.34611893,1854,60.88609695,1854,23.07289696,1854,34.23318481,1854,28.01343155,
1853,38.86531448,1853,49.82093048,1853,48.35926056,1853,61.41326904,1853,23.07452202,1853,34.25218201,1853,28.03898811,
1852,38.86982346,1852,49.83155441,1852,48.34408188,1852,61.93186188,1852,23.08554649,1852,34.25312805,1852,28.02580261,
1851,38.8498497,1851,49.84273911,1851,48.36854172,1851,62.50557709,1851,23.08912659,1851,34.25209045,1851,28.0388298,
1850,38.79681015,1850,49.83325577,1850,48.35334015,1850,63.01787567,1850,23.08761024,1850,34.22067261,1850,28.04737091,
1849,38.80217361,1849,49.83572769,1849,48.36621475,1849,63.5573616,1849,23.09960938,1849,34.24597549,1849,28.05522919,
1848,38.80077744,1848,49.83798981,1848,48.37778854,1848,64.0993042,1848,23.08983994,1848,34.2584877,1848,28.0436306,
1847,38.77033234,1847,49.83285141,1847,48.34914398,1847,64.61676025,1847,23.08185768,1847,34.2586174,1847,28.02461052,
1846,38.76773071,1846,49.8379631,1846,48.35115814,1846,65.17349243,1846,23.09442139,1846,34.22974777,1846,28.04502296,
1845,38.7273941,1845,49.82988358,1845,48.34685135,1845,65.71527863,1845,23.07831764,1845,34.23358536,1845,28.01859665,
1844,38.72707367,1844,49.83233643,1844,48.34237289,1844,66.25650787,1844,23.10860825,1844,34.27313232,1844,28.04399109,
1843,38.72853088,1843,49.82530594,1843,48.3629303,1843,66.76040649,1843,23.10383034,1843,34.24779129,1843,28.04332924,
1842,38.66028595,1842,49.83266449,1842,48.33795929,1842,67.30737305,1842,23.10778046,1842,34.24588776,1842,28.04828835,
1841,38.66051865,1841,49.84132004,1841,48.35495758,1841,67.8567276,1841,23.09174728,1841,34.25572968,1841,28.02872658,
