Single
3648
Scan 0,   
929, 75.0
930, 76.0
931, 76.0
932, 85.0
933, 74.0
934, 78.0
935, 78.0
936, 78.0
937, 76.0
938, 86.0
939, 77.0
940, 80.0
941, 79.0
942, 81.0
943, 78.0
944, 83.0
945, 73.0
946, 83.0
947, 79.0
948, 79.0
949, 78.0
950, 81.0
951, 79.0
952, 78.0
953, 73.0
954, 82.0
955, 79.0
956, 78.0
957, 80.0
958, 77.0
959, 81.0
960, 78.0
961, 76.0
962, 79.0
963, 76.0
964, 79.0
965, 77.0
966, 81.0
967, 77.0
968, 83.0
969, 76.0
970, 76.0
971, 79.0
972, 81.0
973, 78.0
974, 81.0
975, 77.0
976, 82.0
977, 77.0
978, 84.0
979, 73.0
980, 79.0
981, 77.0
982, 82.0
983, 78.0
984, 79.0
985, 80.0
986, 80.0
987, 76.0
988, 82.0
989, 78.0
990, 79.0
991, 78.0
992, 80.0
993, 80.0
994, 78.0
995, 81.0
996, 77.0
997, 82.0
998, 76.0
999, 76.0
1000, 80.0
1001, 81.0
1002, 80.0
1003, 76.0
1004, 81.0
1005, 76.0
1006, 74.0
1007, 78.0
1008, 77.0
1009, 75.0
1010, 78.0
1011, 75.0
1012, 79.0
1013, 76.0
1014, 79.0
1015, 75.0
1016, 81.0
1017, 76.0
1018, 80.0
1019, 84.0
1020, 82.0
1021, 77.0
1022, 77.0
1023, 82.0
1024, 82.0
1025, 81.0
1026, 82.0
1027, 81.0
1028, 72.0
1029, 75.0
1030, 79.0
1031, 72.0
1032, 74.0
1033, 75.0
1034, 81.0
1035, 79.0
1036, 83.0
1037, 79.0
1038, 76.0
1039, 79.0
1040, 81.0
1041, 77.0
1042, 80.0
1043, 75.0
1044, 79.0
1045, 78.0
1046, 80.0
1047, 76.0
1048, 77.0
1049, 76.0
1050, 75.0
1051, 80.0
1052, 77.0
1053, 76.0
1054, 80.0
1055, 77.0
1056, 83.0
1057, 81.0
1058, 79.0
1059, 77.0
1060, 77.0
1061, 77.0
1062, 81.0
1063, 77.0
1064, 80.0
1065, 77.0
1066, 78.0
1067, 75.0
1068, 78.0
1069, 80.0
1070, 79.0
1071, 77.0
1072, 80.0
1073, 75.0
1074, 79.0
1075, 78.0
1076, 80.0
1077, 78.0
1078, 80.0
1079, 78.0
1080, 82.0
1081, 77.0
1082, 76.0
1083, 72.0
1084, 79.0
1085, 81.0
1086, 77.0
1087, 77.0
1088, 81.0
1089, 77.0
1090, 80.0
1091, 74.0
1092, 81.0
1093, 82.0
1094, 78.0
1095, 77.0
1096, 82.0
1097, 77.0
1098, 80.0
1099, 77.0
1100, 75.0
1101, 79.0
1102, 79.0
1103, 74.0
1104, 77.0
1105, 73.0
1106, 77.0
1107, 78.0
1108, 78.0
1109, 73.0
1110, 82.0
1111, 78.0
1112, 77.0
1113, 78.0
1114, 81.0
1115, 81.0
1116, 80.0
1117, 76.0
1118, 77.0
1119, 80.0
1120, 81.0
1121, 72.0
1122, 77.0
1123, 75.0
1124, 82.0
1125, 79.0
1126, 83.0
1127, 78.0
1128, 83.0
1129, 79.0
1130, 80.0
1131, 78.0
1132, 81.0
1133, 74.0
1134, 80.0
1135, 79.0
1136, 83.0
1137, 74.0
1138, 80.0
1139, 78.0
1140, 77.0
1141, 76.0
1142, 82.0
1143, 77.0
1144, 80.0
1145, 79.0
1146, 82.0
1147, 73.0
1148, 82.0
1149, 76.0
1150, 78.0
1151, 76.0
1152, 81.0
1153, 80.0
1154, 83.0
1155, 75.0
1156, 80.0
1157, 72.0
1158, 79.0
1159, 76.0
1160, 84.0
1161, 82.0
1162, 76.0
1163, 78.0
1164, 85.0
1165, 84.0
1166, 78.0
1167, 80.0
1168, 80.0
1169, 74.0
1170, 82.0
1171, 78.0
1172, 78.0
1173, 77.0
1174, 82.0
1175, 81.0
1176, 78.0
1177, 77.0
1178, 80.0
1179, 77.0
1180, 75.0
1181, 73.0
1182, 76.0
1183, 80.0
1184, 75.0
1185, 74.0
1186, 82.0
1187, 79.0
1188, 77.0
1189, 80.0
1190, 76.0
1191, 79.0
1192, 81.0
1193, 80.0
1194, 80.0
1195, 79.0
1196, 80.0
1197, 77.0
1198, 81.0
1199, 75.0
1200, 81.0
1201, 77.0
1202, 82.0
1203, 79.0
1204, 86.0
1205, 72.0
1206, 79.0
1207, 78.0
1208, 80.0
1209, 80.0
1210, 81.0
1211, 81.0
1212, 83.0
1213, 76.0
1214, 75.0
1215, 75.0
1216, 81.0
1217, 78.0
1218, 82.0
1219, 75.0
1220, 81.0
1221, 76.0
1222, 73.0
1223, 79.0
1224, 85.0
1225, 79.0
1226, 75.0
1227, 78.0
1228, 78.0
1229, 77.0
1230, 79.0
1231, 79.0
1232, 79.0
1233, 77.0
1234, 80.0
1235, 75.0
1236, 78.0
1237, 76.0
1238, 79.0
1239, 78.0
1240, 77.0
1241, 79.0
1242, 79.0
1243, 80.0
1244, 83.0
1245, 81.0
1246, 80.0
1247, 77.0
1248, 77.0
1249, 80.0
1250, 80.0
1251, 77.0
1252, 76.0
1253, 77.0
1254, 80.0
1255, 81.0
1256, 81.0
1257, 74.0
1258, 81.0
1259, 77.0
1260, 77.0
1261, 78.0
1262, 82.0
1263, 77.0
1264, 80.0
1265, 78.0
1266, 80.0
1267, 76.0
1268, 79.0
1269, 75.0
1270, 75.0
1271, 77.0
1272, 85.0
1273, 79.0
1274, 79.0
1275, 74.0
1276, 82.0
1277, 81.0
1278, 79.0
1279, 77.0
1280, 79.0
1281, 77.0
1282, 79.0
1283, 73.0
1284, 78.0
1285, 76.0
1286, 81.0
1287, 77.0
1288, 78.0
1289, 81.0
1290, 83.0
1291, 82.0
1292, 79.0
1293, 73.0
1294, 78.0
1295, 73.0
1296, 80.0
1297, 77.0
1298, 83.0
1299, 74.0
1300, 79.0
1301, 76.0
1302, 79.0
1303, 74.0
1304, 81.0
1305, 74.0
1306, 77.0
1307, 77.0
1308, 78.0
1309, 74.0
1310, 80.0
1311, 79.0
1312, 80.0
1313, 81.0
1314, 78.0
1315, 82.0
1316, 79.0
1317, 78.0
1318, 83.0
1319, 71.0
1320, 82.0
1321, 73.0
1322, 80.0
1323, 77.0
1324, 81.0
1325, 79.0
1326, 80.0
1327, 78.0
1328, 80.0
1329, 77.0
1330, 76.0
1331, 79.0
1332, 79.0
1333, 81.0
1334, 79.0
1335, 82.0
1336, 80.0
1337, 78.0
1338, 80.0
1339, 76.0
1340, 81.0
1341, 78.0
1342, 78.0
1343, 77.0
1344, 80.0
1345, 76.0
1346, 81.0
1347, 82.0
1348, 76.0
1349, 75.0
1350, 75.0
1351, 75.0
1352, 81.0
1353, 78.0
1354, 84.0
1355, 78.0
1356, 75.0
1357, 78.0
1358, 81.0
1359, 77.0
1360, 81.0
1361, 79.0
1362, 79.0
1363, 79.0
1364, 81.0
1365, 81.0
1366, 81.0
1367, 76.0
1368, 79.0
1369, 78.0
1370, 76.0
1371, 76.0
1372, 76.0
1373, 76.0
1374, 84.0
1375, 76.0
1376, 80.0
1377, 77.0
1378, 86.0
1379, 76.0
1380, 82.0
1381, 79.0
1382, 76.0
1383, 79.0
1384, 78.0
1385, 82.0
1386, 77.0
1387, 76.0
1388, 74.0
1389, 79.0
1390, 81.0
1391, 78.0
1392, 80.0
1393, 75.0
1394, 77.0
1395, 78.0
1396, 78.0
1397, 78.0
1398, 78.0
1399, 76.0
1400, 80.0
1401, 79.0
1402, 78.0
1403, 77.0
1404, 82.0
1405, 80.0
1406, 78.0
1407, 74.0
1408, 80.0
1409, 83.0
1410, 76.0
1411, 76.0
1412, 78.0
1413, 78.0
1414, 78.0
1415, 75.0
1416, 81.0
1417, 75.0
1418, 85.0
1419, 80.0
1420, 82.0
1421, 76.0
1422, 81.0
1423, 77.0
1424, 81.0
1425, 75.0
1426, 82.0
1427, 76.0
1428, 80.0
1429, 74.0
1430, 80.0
1431, 72.0
1432, 76.0
1433, 80.0
1434, 81.0
1435, 74.0
1436, 80.0
1437, 76.0
1438, 76.0
1439, 80.0
1440, 81.0
1441, 78.0
1442, 77.0
1443, 76.0
1444, 76.0
1445, 79.0
1446, 80.0
1447, 77.0
1448, 79.0
1449, 74.0
1450, 80.0
1451, 75.0
1452, 81.0
1453, 80.0
1454, 81.0
1455, 80.0
1456, 77.0
1457, 78.0
1458, 81.0
1459, 79.0
1460, 83.0
1461, 76.0
1462, 84.0
1463, 75.0
1464, 80.0
1465, 79.0
1466, 80.0
1467, 72.0
1468, 81.0
1469, 79.0
1470, 77.0
1471, 76.0
1472, 83.0
1473, 69.0
1474, 80.0
1475, 78.0
1476, 80.0
1477, 81.0
1478, 82.0
1479, 77.0
1480, 81.0
1481, 79.0
1482, 80.0
1483, 77.0
1484, 78.0
1485, 79.0
1486, 77.0
1487, 79.0
1488, 83.0
1489, 79.0
1490, 81.0
1491, 76.0
1492, 73.0
1493, 79.0
1494, 78.0
1495, 74.0
1496, 83.0
1497, 81.0
1498, 80.0
1499, 79.0
1500, 82.0
1501, 81.0
1502, 81.0
1503, 81.0
1504, 80.0
1505, 81.0
1506, 78.0
1507, 76.0
1508, 83.0
1509, 78.0
1510, 81.0
1511, 74.0
1512, 81.0
1513, 74.0
1514, 78.0
1515, 78.0
1516, 79.0
1517, 76.0
1518, 80.0
1519, 76.0
1520, 80.0
1521, 74.0
1522, 81.0
1523, 73.0
1524, 81.0
1525, 83.0
1526, 78.0
1527, 80.0
1528, 79.0
1529, 78.0
1530, 78.0
1531, 75.0
1532, 75.0
1533, 77.0
1534, 84.0
1535, 81.0
1536, 79.0
1537, 81.0
1538, 79.0
1539, 80.0
1540, 79.0
1541, 76.0
1542, 82.0
1543, 78.0
1544, 80.0
1545, 76.0
1546, 83.0
1547, 74.0
1548, 84.0
1549, 73.0
1550, 81.0
1551, 81.0
1552, 80.0
1553, 82.0
1554, 83.0
1555, 79.0
1556, 79.0
1557, 80.0
1558, 77.0
1559, 79.0
1560, 83.0
1561, 81.0
1562, 77.0
1563, 80.0
1564, 83.0
1565, 75.0
1566, 78.0
1567, 77.0
1568, 77.0
1569, 80.0
1570, 83.0
1571, 77.0
1572, 80.0
1573, 77.0
1574, 80.0
1575, 76.0
1576, 78.0
1577, 75.0
1578, 74.0
1579, 76.0
1580, 78.0
1581, 82.0
1582, 76.0
1583, 79.0
1584, 76.0
1585, 74.0
1586, 82.0
1587, 79.0
1588, 80.0
1589, 76.0
1590, 82.0
1591, 79.0
1592, 83.0
