Single
3648
Scan 0,   
837, 62.0
838, 62.0
839, 61.0
840, 63.0
841, 63.0
842, 65.0
843, 69.0
844, 64.0
845, 64.0
846, 60.0
847, 62.0
848, 66.0
849, 62.0
850, 64.0
851, 61.0
852, 63.0
853, 65.0
854, 62.0
855, 60.0
856, 65.0
857, 60.0
858, 63.0
859, 61.0
860, 67.0
861, 62.0
862, 65.0
863, 63.0
864, 61.0
865, 66.0
866, 59.0
867, 60.0
868, 61.0
869, 67.0
870, 66.0
871, 64.0
872, 65.0
873, 60.0
874, 61.0
875, 62.0
876, 63.0
877, 64.0
878, 59.0
879, 61.0
880, 60.0
881, 65.0
882, 61.0
883, 63.0
884, 64.0
885, 63.0
886, 62.0
887, 65.0
888, 60.0
889, 63.0
890, 58.0
891, 64.0
892, 61.0
893, 63.0
894, 60.0
895, 59.0
896, 62.0
897, 62.0
898, 63.0
899, 64.0
900, 65.0
901, 60.0
902, 64.0
903, 60.0
904, 65.0
905, 62.0
906, 63.0
907, 64.0
908, 63.0
909, 64.0
910, 60.0
911, 58.0
912, 68.0
913, 58.0
914, 62.0
915, 61.0
916, 64.0
917, 65.0
918, 65.0
919, 63.0
920, 67.0
921, 63.0
922, 67.0
923, 61.0
924, 61.0
925, 65.0
926, 61.0
927, 62.0
928, 62.0
929, 59.0
930, 63.0
931, 63.0
932, 63.0
933, 58.0
934, 68.0
935, 61.0
936, 63.0
937, 64.0
938, 61.0
939, 65.0
940, 62.0
941, 64.0
942, 63.0
943, 67.0
944, 65.0
945, 63.0
946, 60.0
947, 61.0
948, 63.0
949, 60.0
950, 67.0
951, 66.0
952, 63.0
953, 62.0
954, 60.0
955, 62.0
956, 63.0
957, 64.0
958, 60.0
959, 64.0
960, 60.0
961, 65.0
962, 64.0
963, 58.0
964, 63.0
965, 59.0
966, 63.0
967, 58.0
968, 63.0
969, 59.0
970, 65.0
971, 64.0
972, 64.0
973, 61.0
974, 63.0
975, 61.0
976, 62.0
977, 63.0
978, 62.0
979, 60.0
980, 64.0
981, 66.0
982, 61.0
983, 59.0
984, 67.0
985, 61.0
986, 62.0
987, 65.0
988, 66.0
989, 63.0
990, 64.0
991, 63.0
992, 61.0
993, 62.0
994, 66.0
995, 64.0
996, 64.0
997, 62.0
998, 62.0
999, 63.0
1000, 66.0
1001, 61.0
1002, 66.0
1003, 62.0
1004, 64.0
1005, 63.0
1006, 63.0
1007, 63.0
1008, 60.0
1009, 62.0
1010, 66.0
1011, 60.0
1012, 63.0
1013, 63.0
1014, 65.0
1015, 59.0
1016, 62.0
1017, 59.0
1018, 61.0
1019, 64.0
1020, 60.0
1021, 63.0
1022, 60.0
1023, 60.0
1024, 61.0
1025, 63.0
1026, 65.0
1027, 61.0
1028, 64.0
1029, 63.0
1030, 61.0
1031, 60.0
1032, 66.0
1033, 61.0
1034, 61.0
1035, 59.0
1036, 60.0
1037, 62.0
1038, 62.0
1039, 63.0
1040, 67.0
1041, 61.0
1042, 63.0
1043, 57.0
1044, 63.0
1045, 60.0
1046, 62.0
1047, 64.0
1048, 65.0
1049, 60.0
1050, 67.0
1051, 61.0
1052, 62.0
1053, 68.0
1054, 64.0
1055, 63.0
1056, 63.0
1057, 66.0
1058, 62.0
1059, 65.0
1060, 65.0
1061, 63.0
1062, 66.0
1063, 63.0
1064, 65.0
1065, 67.0
1066, 63.0
1067, 67.0
1068, 66.0
1069, 61.0
1070, 63.0
1071, 63.0
1072, 64.0
1073, 62.0
1074, 66.0
1075, 63.0
1076, 63.0
1077, 61.0
1078, 60.0
1079, 68.0
1080, 62.0
1081, 61.0
1082, 66.0
1083, 63.0
1084, 61.0
1085, 67.0
1086, 62.0
1087, 64.0
1088, 64.0
1089, 63.0
1090, 64.0
1091, 59.0
1092, 63.0
1093, 62.0
1094, 64.0
1095, 62.0
1096, 60.0
1097, 61.0
1098, 62.0
1099, 62.0
1100, 62.0
1101, 61.0
1102, 63.0
1103, 63.0
1104, 65.0
1105, 61.0
1106, 63.0
1107, 60.0
1108, 63.0
1109, 62.0
1110, 63.0
1111, 66.0
1112, 63.0
1113, 63.0
1114, 66.0
1115, 62.0
1116, 64.0
1117, 63.0
1118, 61.0
1119, 66.0
1120, 60.0
1121, 61.0
1122, 65.0
1123, 60.0
1124, 59.0
1125, 66.0
1126, 62.0
1127, 62.0
1128, 61.0
1129, 63.0
1130, 64.0
1131, 61.0
1132, 68.0
1133, 61.0
1134, 61.0
1135, 63.0
1136, 64.0
1137, 63.0
1138, 65.0
1139, 62.0
1140, 63.0
1141, 68.0
1142, 65.0
1143, 61.0
1144, 62.0
1145, 61.0
1146, 66.0
1147, 58.0
1148, 62.0
1149, 62.0
1150, 60.0
1151, 67.0
1152, 63.0
1153, 64.0
1154, 63.0
1155, 63.0
1156, 64.0
1157, 65.0
1158, 62.0
1159, 63.0
1160, 64.0
1161, 63.0
1162, 64.0
1163, 60.0
1164, 63.0
1165, 60.0
1166, 63.0
1167, 64.0
1168, 65.0
1169, 66.0
1170, 63.0
1171, 61.0
1172, 63.0
1173, 61.0
1174, 64.0
1175, 66.0
1176, 66.0
1177, 68.0
1178, 63.0
1179, 66.0
1180, 64.0
1181, 64.0
1182, 63.0
1183, 63.0
1184, 63.0
1185, 67.0
1186, 65.0
1187, 61.0
1188, 64.0
1189, 63.0
1190, 67.0
1191, 62.0
1192, 63.0
1193, 66.0
1194, 60.0
1195, 68.0
1196, 65.0
1197, 65.0
1198, 63.0
1199, 61.0
1200, 63.0
1201, 66.0
1202, 63.0
1203, 60.0
1204, 63.0
1205, 66.0
1206, 66.0
1207, 63.0
1208, 64.0
1209, 66.0
1210, 60.0
1211, 59.0
1212, 64.0
1213, 61.0
1214, 58.0
1215, 60.0
1216, 63.0
1217, 65.0
1218, 65.0
1219, 66.0
1220, 66.0
1221, 62.0
1222, 64.0
1223, 68.0
1224, 63.0
1225, 64.0
1226, 65.0
1227, 60.0
1228, 63.0
1229, 60.0
1230, 62.0
1231, 63.0
1232, 62.0
1233, 65.0
1234, 62.0
1235, 66.0
1236, 62.0
1237, 63.0
1238, 64.0
1239, 62.0
1240, 65.0
1241, 64.0
1242, 68.0
1243, 64.0
1244, 62.0
1245, 65.0
1246, 61.0
1247, 64.0
1248, 61.0
1249, 61.0
1250, 64.0
1251, 64.0
1252, 64.0
1253, 64.0
1254, 66.0
1255, 66.0
1256, 67.0
1257, 63.0
1258, 63.0
1259, 65.0
1260, 65.0
1261, 62.0
1262, 67.0
1263, 61.0
1264, 64.0
1265, 62.0
1266, 64.0
1267, 68.0
1268, 64.0
1269, 59.0
1270, 63.0
1271, 61.0
1272, 61.0
1273, 66.0
1274, 64.0
1275, 67.0
1276, 65.0
1277, 67.0
1278, 65.0
1279, 62.0
1280, 63.0
1281, 66.0
1282, 63.0
1283, 61.0
1284, 62.0
1285, 64.0
1286, 66.0
1287, 64.0
1288, 62.0
1289, 70.0
1290, 67.0
1291, 64.0
1292, 63.0
1293, 62.0
1294, 67.0
1295, 63.0
1296, 64.0
1297, 65.0
1298, 64.0
1299, 63.0
1300, 63.0
1301, 63.0
1302, 66.0
1303, 66.0
1304, 63.0
1305, 61.0
1306, 62.0
1307, 63.0
1308, 62.0
1309, 66.0
1310, 68.0
1311, 63.0
1312, 65.0
1313, 63.0
1314, 67.0
1315, 65.0
1316, 60.0
1317, 67.0
1318, 61.0
1319, 68.0
1320, 63.0
1321, 65.0
1322, 63.0
1323, 63.0
1324, 66.0
1325, 61.0
1326, 68.0
1327, 61.0
1328, 70.0
1329, 66.0
1330, 64.0
1331, 65.0
1332, 64.0
1333, 64.0
1334, 66.0
1335, 65.0
1336, 63.0
1337, 64.0
1338, 66.0
1339, 65.0
1340, 64.0
1341, 62.0
1342, 65.0
1343, 63.0
1344, 69.0
1345, 58.0
1346, 67.0
1347, 62.0
1348, 69.0
1349, 67.0
1350, 62.0
1351, 65.0
1352, 64.0
1353, 65.0
1354, 63.0
1355, 66.0
1356, 65.0
1357, 71.0
1358, 63.0
1359, 68.0
1360, 60.0
1361, 66.0
1362, 64.0
1363, 67.0
1364, 63.0
1365, 65.0
1366, 65.0
1367, 65.0
1368, 62.0
1369, 61.0
1370, 65.0
1371, 63.0
1372, 63.0
1373, 65.0
1374, 66.0
1375, 61.0
1376, 62.0
1377, 61.0
1378, 62.0
1379, 62.0
1380, 65.0
1381, 69.0
1382, 66.0
1383, 65.0
1384, 65.0
1385, 63.0
1386, 64.0
1387, 65.0
1388, 65.0
1389, 67.0
1390, 66.0
1391, 66.0
1392, 62.0
1393, 66.0
1394, 63.0
1395, 61.0
1396, 64.0
1397, 65.0
1398, 66.0
1399, 63.0
1400, 68.0
1401, 63.0
1402, 64.0
1403, 68.0
1404, 64.0
1405, 62.0
1406, 64.0
1407, 63.0
1408, 65.0
1409, 64.0
1410, 64.0
1411, 63.0
1412, 65.0
1413, 70.0
1414, 66.0
1415, 68.0
1416, 65.0
1417, 64.0
1418, 65.0
1419, 63.0
1420, 64.0
1421, 66.0
1422, 64.0
1423, 66.0
1424, 72.0
1425, 64.0
1426, 63.0
1427, 67.0
1428, 68.0
1429, 65.0
1430, 64.0
1431, 64.0
1432, 62.0
1433, 66.0
1434, 67.0
1435, 70.0
1436, 65.0
1437, 66.0
1438, 65.0
1439, 65.0
1440, 65.0
1441, 69.0
1442, 64.0
1443, 66.0
1444, 62.0
1445, 68.0
1446, 65.0
1447, 62.0
1448, 66.0
1449, 65.0
1450, 64.0
1451, 65.0
1452, 67.0
1453, 68.0
1454, 66.0
1455, 64.0
1456, 70.0
1457, 65.0
1458, 64.0
1459, 63.0
1460, 68.0
1461, 67.0
1462, 59.0
1463, 63.0
1464, 62.0
1465, 66.0
1466, 65.0
1467, 62.0
1468, 70.0
1469, 67.0
1470, 66.0
1471, 64.0
1472, 64.0
1473, 64.0
1474, 66.0
1475, 64.0
1476, 67.0
1477, 66.0
1478, 61.0
1479, 65.0
1480, 64.0
1481, 66.0
1482, 65.0
1483, 61.0
1484, 65.0
1485, 66.0
1486, 65.0
1487, 67.0
1488, 61.0
1489, 67.0
1490, 65.0
1491, 63.0
1492, 68.0
1493, 66.0
1494, 70.0
1495, 62.0
1496, 64.0
1497, 66.0
1498, 65.0
1499, 65.0
1500, 66.0
1501, 65.0
1502, 66.0
1503, 66.0
1504, 66.0
1505, 70.0
1506, 68.0
1507, 65.0
1508, 68.0
1509, 70.0
1510, 64.0
1511, 66.0
1512, 66.0
1513, 64.0
1514, 68.0
1515, 67.0
1516, 68.0
1517, 64.0
1518, 67.0
1519, 65.0
1520, 64.0
1521, 67.0
1522, 68.0
1523, 63.0
1524, 66.0
1525, 63.0
1526, 67.0
1527, 66.0
1528, 66.0
1529, 68.0
1530, 67.0
1531, 64.0
1532, 73.0
1533, 64.0
1534, 70.0
1535, 67.0
1536, 66.0
1537, 69.0
1538, 69.0
1539, 63.0
1540, 68.0
1541, 67.0
1542, 64.0
1543, 66.0
1544, 62.0
1545, 63.0
1546, 66.0
1547, 64.0
1548, 66.0
1549, 68.0
