Single
3648
Scan 0,   
752, 72.0
753, 74.0
754, 79.0
755, 78.0
756, 75.0
757, 76.0
758, 76.0
759, 81.0
760, 73.0
761, 76.0
762, 72.0
763, 77.0
764, 81.0
765, 72.0
766, 79.0
767, 76.0
768, 72.0
769, 78.0
770, 78.0
771, 73.0
772, 71.0
773, 71.0
774, 77.0
775, 77.0
776, 72.0
777, 75.0
778, 77.0
779, 78.0
780, 76.0
781, 74.0
782, 78.0
783, 74.0
784, 77.0
785, 76.0
786, 81.0
787, 76.0
788, 72.0
789, 74.0
790, 77.0
791, 75.0
792, 75.0
793, 75.0
794, 78.0
795, 74.0
796, 74.0
797, 71.0
798, 77.0
799, 75.0
800, 77.0
801, 73.0
802, 76.0
803, 75.0
804, 77.0
805, 77.0
806, 76.0
807, 77.0
808, 76.0
809, 72.0
810, 76.0
811, 77.0
812, 76.0
813, 73.0
814, 75.0
815, 77.0
816, 72.0
817, 75.0
818, 73.0
819, 76.0
820, 77.0
821, 77.0
822, 77.0
823, 77.0
824, 77.0
825, 74.0
826, 77.0
827, 75.0
828, 76.0
829, 73.0
830, 78.0
831, 75.0
832, 72.0
833, 77.0
834, 73.0
835, 75.0
836, 78.0
837, 75.0
838, 76.0
839, 74.0
840, 75.0
841, 76.0
842, 76.0
843, 79.0
844, 71.0
845, 74.0
846, 73.0
847, 75.0
848, 76.0
849, 76.0
850, 76.0
851, 75.0
852, 79.0
853, 76.0
854, 76.0
855, 74.0
856, 75.0
857, 76.0
858, 77.0
859, 72.0
860, 71.0
861, 75.0
862, 73.0
863, 72.0
864, 75.0
865, 71.0
866, 75.0
867, 80.0
868, 77.0
869, 77.0
870, 78.0
871, 77.0
872, 74.0
873, 77.0
874, 75.0
875, 79.0
876, 76.0
877, 74.0
878, 75.0
879, 77.0
880, 78.0
881, 70.0
882, 74.0
883, 79.0
884, 76.0
885, 76.0
886, 75.0
887, 76.0
888, 77.0
889, 78.0
890, 72.0
891, 73.0
892, 74.0
893, 78.0
894, 79.0
895, 77.0
896, 75.0
897, 80.0
898, 75.0
899, 78.0
900, 75.0
901, 82.0
902, 77.0
903, 73.0
904, 77.0
905, 76.0
906, 76.0
907, 75.0
908, 74.0
909, 79.0
910, 77.0
911, 76.0
912, 76.0
913, 72.0
914, 75.0
915, 74.0
916, 75.0
917, 76.0
918, 80.0
919, 78.0
920, 77.0
921, 76.0
922, 74.0
923, 73.0
924, 75.0
925, 80.0
926, 78.0
927, 74.0
928, 75.0
929, 74.0
930, 81.0
931, 79.0
932, 79.0
933, 74.0
934, 72.0
935, 77.0
936, 72.0
937, 76.0
